record,fold,consensus_operator,fold_operator,value
same_slot,25,15,15,0.9949313711119214
same_slot,26,1,1,0.9979971092880464
same_slot,26,2,2,0.996659411896134
same_slot,26,3,3,0.9998210676963066
same_slot,26,4,4,0.9998449554969099
same_slot,26,5,5,0.9992658153055378
same_slot,26,6,6,0.9963239554658174
same_slot,26,7,7,0.9966933928557385
same_slot,26,8,8,0.9994326061416576
same_slot,26,9,9,0.9887571538189065
same_slot,26,10,10,0.9977848224186464
same_slot,26,11,11,0.9948679893014137
same_slot,26,12,12,0.9994787384006499
same_slot,26,13,13,0.9992387019274246
same_slot,26,14,14,0.9992638084912565
same_slot,26,15,15,0.9984669564848833
same_slot,27,1,1,0.9979571713633502
same_slot,27,2,2,0.9969133987133624
same_slot,27,3,3,0.9997806621714269
same_slot,27,4,4,0.9998388840394218
same_slot,27,5,5,0.999190867896553
same_slot,27,6,6,0.9964708261420093
same_slot,27,7,7,0.9965574308294814
same_slot,27,8,8,0.9993704420154487
same_slot,27,9,9,0.9851762817470291
same_slot,27,10,10,0.9976621173236757
same_slot,27,11,11,0.9962069785242732
same_slot,27,12,12,0.99943769980821
same_slot,27,13,13,0.999153537166616
same_slot,27,14,14,0.9991852508843804
same_slot,27,15,15,0.9985059548124887
same_slot,28,1,1,0.9988767817148355
same_slot,28,2,2,0.9979596836888639
same_slot,28,3,3,0.9998506356456515
same_slot,28,4,4,0.9998530917349299
same_slot,28,5,5,0.9996556386100592
same_slot,28,6,6,0.9965033235507023
same_slot,28,7,7,0.9973797283855864
same_slot,28,8,8,0.9995832987320199
same_slot,28,9,9,0.9773646231209303
same_slot,28,10,10,0.9976371702360155
same_slot,28,11,11,0.9939701662169154
same_slot,28,12,12,0.9997385698171777
same_slot,28,13,13,0.9995235909601802
same_slot,28,14,14,0.9996329651455783
same_slot,28,15,15,0.999278909383658
same_slot,29,1,1,0.9985844212629873
same_slot,29,2,2,0.9980646780691694
same_slot,29,3,3,0.9998841168118641
same_slot,29,4,4,0.9998002220629991
same_slot,29,5,5,0.9994832161775787
same_slot,29,6,6,0.9961548061055622
same_slot,29,7,7,0.997112754865343
same_slot,29,8,8,0.9994715088332834
same_slot,29,9,9,0.9882864079460778
same_slot,29,10,10,0.9975789355985474
same_slot,29,11,11,0.996268710056588
same_slot,29,12,12,0.9996134248004873
same_slot,29,13,13,0.9994655324651464
same_slot,29,14,14,0.9994562361319788
same_slot,29,15,15,0.9990214306029302
same_slot,30,1,1,0.9988992986845556
same_slot,30,2,2,0.9974728219351096
same_slot,30,3,3,0.9998571728171274
same_slot,30,4,4,0.9997959653764619
same_slot,30,5,5,0.9997329249325158
same_slot,30,6,6,0.9970364063279101
same_slot,30,7,7,0.9966498369535246
same_slot,30,8,8,0.99960626269064
same_slot,30,9,9,0.9624713448847907
same_slot,30,10,10,0.9967792358208649
same_slot,30,11,11,0.9954408026496012
same_slot,30,12,12,0.9997240053115296
same_slot,30,13,13,0.9995948897351471
same_slot,30,14,14,0.9997053789925457
same_slot,30,15,15,0.999383612125148
cross_slot,23,6,6,0.39224825184879536
cross_slot,23,6,10,0.8198552762171876
cross_slot,23,10,6,0.5033084999874476
cross_slot,23,10,10,0.517687475689342
cross_slot,24,2,2,0.7365189037819642
cross_slot,24,2,6,0.3498995045184803
cross_slot,24,6,2,0.656600792845407
cross_slot,24,6,6,0.6295670123183778
cross_slot,25,6,6,0.38936210444009545
cross_slot,25,6,10,0.8196983601626534
cross_slot,25,10,6,0.4971354342090263
cross_slot,25,10,10,0.5202494120649278
